Timestamp,Title,URL,Location,Setting,Date Posted,Scrape Date,Scrape Day
10:55:08,Licensed Masters Mental Health Professional,https://www.kaiserpermanentejobs.org/job/san-francisco/licensed-masters-mental-health-professional/641/78516385920,"San Francisco, California",- Flexible -,03/10/2025,03102025,Mon
10:55:08,"Supervisor, Pharmacy Care Delivery, Acute Care Pharmacy",https://www.kaiserpermanentejobs.org/job/baldwin-park/supervisor-pharmacy-care-delivery-acute-care-pharmacy/641/78516385152,"Baldwin Park, California",- Onsite -,03/10/2025,03102025,Mon
10:55:08,"Communications Lead, Strategic Planning & Execution",https://www.kaiserpermanentejobs.org/job/oakland/communications-lead-strategic-planning-and-execution/641/78516383104,"Oakland, California",- Remote -,03/10/2025,03102025,Mon
10:55:08,Project Manager III - Strategic Projects - Los Angeles Medical Center,https://www.kaiserpermanentejobs.org/job/los-angeles/project-manager-iii-strategic-projects-los-angeles-medical-center/641/78516382144,"Los Angeles, California",- Flexible -,03/10/2025,03102025,Mon
10:55:08,Specialty RN TTP Training Program - NICU,https://www.kaiserpermanentejobs.org/job/los-angeles/specialty-rn-ttp-training-program-nicu/641/78516372784,"Los Angeles, California",- Onsite -,03/10/2025,03102025,Mon
10:55:08,Food Service Worker I,https://www.kaiserpermanentejobs.org/job/san-diego/food-service-worker-i/641/78516371376,"San Diego, California",- Onsite -,03/10/2025,03102025,Mon
10:55:08,"Laboratory Assistant II (Part-time Night shift in Anaheim, CA)",https://www.kaiserpermanentejobs.org/job/anaheim/laboratory-assistant-ii-part-time-night-shift-in-anaheim-ca/641/78516335344,"Anaheim, California",- Onsite -,03/10/2025,03102025,Mon
10:55:08,"Laboratory Assistant II (Part-time Evening shift in Anaheim, CA)",https://www.kaiserpermanentejobs.org/job/anaheim/laboratory-assistant-ii-part-time-evening-shift-in-anaheim-ca/641/78516335248,"Anaheim, California",- Onsite -,03/10/2025,03102025,Mon
10:55:08,"SVP, Labor Relations",https://www.kaiserpermanentejobs.org/job/oakland/svp-labor-relations/641/78441549360,"Oakland, California",- Remote -,03/08/2025,03102025,Mon
10:55:08,"VP, Thought Leadership & Industry Engagement",https://www.kaiserpermanentejobs.org/job/oakland/vp-thought-leadership-and-industry-engagement/641/78407457424,"Oakland, California",- Flexible -,03/07/2025,03102025,Mon
10:55:08,Associate IT Consultant,https://www.kaiserpermanentejobs.org/job/pleasanton/associate-it-consultant/641/78410934912,"Pleasanton, California",- Flexible -,03/07/2025,03102025,Mon
10:55:08,Category Management Specialist IV,https://www.kaiserpermanentejobs.org/job/pleasanton/category-management-specialist-iv/641/78415567968,"Pleasanton, California",- Remote -,03/08/2025,03102025,Mon
10:55:08,Clinical Laboratory Scientist,https://www.kaiserpermanentejobs.org/job/dublin/clinical-laboratory-scientist/641/78415566832,"Dublin, California",- Onsite -,03/07/2025,03102025,Mon
10:55:08,Senior Clinical Laboratory Scientist,https://www.kaiserpermanentejobs.org/job/dublin/senior-clinical-laboratory-scientist/641/78415566624,"Dublin, California",- Onsite -,03/07/2025,03102025,Mon
10:55:08,Home Health RN - Kern County,https://www.kaiserpermanentejobs.org/job/bakersfield/home-health-rn-kern-county/641/78494343904,"Bakersfield, California",- Onsite -,03/09/2025,03102025,Mon
10:55:09,Home Health RN - Kern County,https://www.kaiserpermanentejobs.org/job/bakersfield/home-health-rn-kern-county/641/78494343872,"Bakersfield, California",- Onsite -,03/09/2025,03102025,Mon
10:55:09,Staff RN - POSTPARTUM,https://www.kaiserpermanentejobs.org/job/riverside/staff-rn-postpartum/641/78424615040,"Riverside, California",- Onsite -,03/08/2025,03102025,Mon
10:55:09,Lvl III Staff RN - LABOR & DELIVERY,https://www.kaiserpermanentejobs.org/job/moreno-valley/lvl-iii-staff-rn-labor-and-delivery/641/78424614976,"Moreno Valley, California",- Onsite -,03/08/2025,03102025,Mon
10:55:09,Specialty Unit Staff RN - Hospital - ICU - Full Time Nights,https://www.kaiserpermanentejobs.org/job/baldwin-park/specialty-unit-staff-rn-hospital-icu-full-time-nights/641/78424614864,"Baldwin Park, California",- Onsite -,03/08/2025,03102025,Mon
10:55:09,"Case Manager Utilization RN, 20/hr Day",https://www.kaiserpermanentejobs.org/job/san-diego/case-manager-utilization-rn-20-hr-day/641/78407455568,"San Diego, California",- Onsite -,03/07/2025,03102025,Mon
10:55:09,Staff RN - POSTPARTUM,https://www.kaiserpermanentejobs.org/job/fontana/staff-rn-postpartum/641/78424612208,"Fontana, California",- Onsite -,03/08/2025,03102025,Mon
10:55:09,Staff RN - Oncology,https://www.kaiserpermanentejobs.org/job/fontana/staff-rn-oncology/641/78424612112,"Fontana, California",- Onsite -,03/08/2025,03102025,Mon
10:55:09,Staff RN - Med/Surg Telemetry,https://www.kaiserpermanentejobs.org/job/fontana/staff-rn-med-surg-telemetry/641/78424611952,"Fontana, California",- Onsite -,03/08/2025,03102025,Mon
10:55:09,Physician Assistant II - Cardiac Surgery Endoscopic Vein Harvesting (EVH),https://www.kaiserpermanentejobs.org/job/los-angeles/physician-assistant-ii-cardiac-surgery-endoscopic-vein-harvesting-evh/641/78415562960,"Los Angeles, California",- Onsite -,03/07/2025,03102025,Mon
10:55:09,Registered Dietitian I (Bilingual Spanish),https://www.kaiserpermanentejobs.org/job/vacaville/registered-dietitian-i-bilingual-spanish/641/78407454048,"Vacaville, California",- Flexible -,03/07/2025,03102025,Mon
10:55:09,Licensed Masters Mental Health Professional SH,https://www.kaiserpermanentejobs.org/job/vallejo/licensed-masters-mental-health-professional-sh/641/77892788992,"Vallejo, California",- Onsite -,02/24/2025,03102025,Mon
10:55:09,Severe Mental Health- Substance Use Disorder Liaison,https://www.kaiserpermanentejobs.org/job/oakland/severe-mental-health-substance-use-disorder-liaison/641/77892788960,"Oakland, California",- Flexible -,02/24/2025,03102025,Mon
10:55:09,Staff RN - Hospital,https://www.kaiserpermanentejobs.org/job/san-diego/staff-rn-hospital/641/78407453792,"San Diego, California",- Onsite -,03/07/2025,03102025,Mon
10:55:09,Specialty Unit Staff RN - Hospital,https://www.kaiserpermanentejobs.org/job/san-diego/specialty-unit-staff-rn-hospital/641/78407453712,"San Diego, California",- Onsite -,03/07/2025,03102025,Mon
10:55:09,Audiologist,https://www.kaiserpermanentejobs.org/job/san-diego/audiologist/641/78415561776,"San Diego, California",- Onsite -,03/07/2025,03102025,Mon
10:55:10,Diagnostic Imaging Technician-Radiology II-Per Diem - Panorama City,https://www.kaiserpermanentejobs.org/job/panorama-city/diagnostic-imaging-technician-radiology-ii-per-diem-panorama-city/641/78407453440,"Panorama City, California",- Onsite -,03/07/2025,03102025,Mon
10:55:10,Diagnostic Imaging Technician-Radiology II-Per Diem - Panorama City,https://www.kaiserpermanentejobs.org/job/panorama-city/diagnostic-imaging-technician-radiology-ii-per-diem-panorama-city/641/78407453376,"Panorama City, California",- Onsite -,03/07/2025,03102025,Mon
10:55:10,Surgical Tech II,https://www.kaiserpermanentejobs.org/job/los-angeles/surgical-tech-ii/641/78415561088,"Los Angeles, California",N/A,03/07/2025,03102025,Mon
10:55:10,Sterile Processing Technician I,https://www.kaiserpermanentejobs.org/job/panorama-city/sterile-processing-technician-i/641/78410930896,"Panorama City, California",- Onsite -,03/07/2025,03102025,Mon
10:55:10,Manager Ambulator Care Department - Surgical Specialties,https://www.kaiserpermanentejobs.org/job/panorama-city/manager-ambulator-care-department-surgical-specialties/641/78364505488,"Panorama City, California",- Onsite -,03/06/2025,03102025,Mon
10:55:10,Surgical Technologist II,https://www.kaiserpermanentejobs.org/job/san-marcos/surgical-technologist-ii/641/78410930752,"San Marcos, California",- Onsite -,03/07/2025,03102025,Mon
10:55:10,Nursing Professional Development Practitioner - OR & Recovery Room,https://www.kaiserpermanentejobs.org/job/walnut-creek/nursing-professional-development-practitioner-or-and-recovery-room/641/77867635488,"Walnut Creek, California",- Onsite -,03/05/2025,03102025,Mon
10:55:10,Emergency Department Technician II - Fremont - 24 hours per week - Night Shift,https://www.kaiserpermanentejobs.org/job/fremont/emergency-department-technician-ii-fremont-24-hours-per-week-night-shift/641/78410929040,"Fremont, California",- Onsite -,03/07/2025,03102025,Mon
10:55:10,Nursing Attendant,https://www.kaiserpermanentejobs.org/job/irvine/nursing-attendant/641/78410928848,"Irvine, California",- Onsite -,03/07/2025,03102025,Mon
10:55:10,"Nurse Practitioner / Physician Assistant - Dermatology, Per Diem",https://www.kaiserpermanentejobs.org/job/fontana/nurse-practitioner-physician-assistant-dermatology-per-diem/641/78415556688,"Fontana, California",- Onsite -,03/07/2025,03102025,Mon
